Store,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
1,1,6,15,57,69,85,75,89,73,75,64,46,31,20,11,6,3,4,2,NA
2,33,64,32,49,95,79,88,57,45,50,61,41,19,9,7,2,1,2,1,NA
3,24,57,66,113,88,56,49,64,73,56,30,24,17,5,5,1,1,1,NA,NA
4,10,39,65,76,67,105,106,90,60,39,26,11,11,15,4,4,2,3,2,NA
5,32,65,20,7,23,85,78,70,70,71,45,52,31,20,22,19,11,6,1,2
6,11,38,36,58,76,62,47,59,79,54,58,39,45,28,17,12,6,1,2,3
7,2,11,26,51,72,90,102,92,76,53,52,39,24,20,12,6,7,1,1,NA
8,11,50,34,26,50,72,68,80,57,50,58,45,33,32,32,15,10,7,4,1
9,1,2,17,66,116,124,113,80,61,45,38,19,16,11,9,3,5,3,1,NA
10,4,3,16,51,104,110,78,77,78,65,42,29,17,21,17,11,7,3,1,1
11,2,8,22,53,100,102,94,78,77,64,47,24,21,13,14,7,4,2,3,NA
12,35,96,120,85,39,47,55,56,60,39,23,15,19,16,11,8,2,3,4,2
13,4,50,71,69,61,56,35,45,51,39,31,25,21,8,13,5,7,3,3,NA
14,23,68,32,78,123,88,96,85,53,26,30,20,3,2,1,1,1,NA,NA,NA
15,1,10,48,118,102,81,68,74,76,53,29,30,17,11,7,3,2,4,1,NA
16,17,38,41,33,52,80,76,82,65,49,45,47,27,26,19,18,5,5,2,1
17,58,54,10,22,94,101,62,51,71,63,27,37,31,20,16,9,4,2,1,NA
18,3,26,66,71,83,87,67,79,84,55,34,17,22,18,12,4,2,2,1,NA
19,1,17,51,54,76,103,67,69,72,77,40,27,21,25,18,4,5,1,2,NA
20,2,15,19,36,23,23,32,43,70,56,76,51,42,35,32,16,12,8,1,3
21,55,101,83,59,76,72,78,57,44,38,20,16,4,13,4,5,1,1,1,NA
22,11,31,61,57,64,58,57,44,50,36,32,25,23,17,11,6,6,3,2,1
23,1,4,14,58,115,92,70,46,76,72,55,31,24,17,16,13,9,10,3,4
24,5,54,158,106,82,91,94,43,34,22,13,11,6,5,2,3,1,NA,NA,NA
25,2,1,3,2,2,15,104,152,120,122,61,64,23,19,3,4,1,2,3,NA
26,1,1,16,58,84,107,79,57,69,89,62,23,19,15,19,18,12,3,1,NA
