Store,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30
867,3,5,8,22,20,16,10,11,10,32,50,64,100,86,103,66,57,47,41,16,20,6,12,11,5,2,2,3,2,1
72,15,40,43,39,91,59,35,35,53,36,35,20,21,15,12,10,10,8,8,5,5,1,1,1,1,NA,NA,NA,NA,NA
906,3,9,26,77,75,68,55,47,40,43,47,43,32,23,16,20,18,25,19,12,7,4,5,3,5,1,2,1,2,4
622,12,22,26,24,20,22,39,41,39,52,40,50,56,41,42,54,38,19,17,11,17,20,11,7,4,5,3,1,1,1
915,7,10,22,27,31,43,32,37,42,26,37,27,31,21,25,25,28,28,29,13,20,8,4,12,4,3,1,2,1,2
186,2,5,9,40,41,46,60,44,52,41,40,46,29,28,29,18,14,14,8,15,10,3,1,1,1,1,NA,NA,NA,NA
393,1,1,1,1,4,29,77,85,98,107,99,82,40,29,21,16,19,8,6,3,1,1,1,NA,NA,NA,NA,NA,NA,NA
830,11,43,36,21,9,15,41,59,82,50,47,48,58,50,32,36,22,19,12,9,11,9,3,1,2,1,3,1,NA,NA
291,5,18,36,33,18,20,46,48,55,38,43,46,54,51,36,37,25,16,16,8,9,14,12,13,10,8,5,3,6,2
977,3,37,74,95,63,51,22,27,40,27,25,33,20,11,14,10,6,9,8,6,6,3,3,2,1,2,1,NA,NA,NA
6,5,16,28,22,29,43,52,43,43,29,34,43,50,47,36,39,35,23,31,26,16,10,12,7,3,4,1,2,2,NA
902,2,12,15,38,61,91,93,99,61,45,39,14,8,4,3,1,2,1,2,3,2,1,1,NA,NA,NA,NA,NA,NA,NA
762,1,3,36,98,147,136,112,68,52,23,16,11,4,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,9,35,47,25,25,60,85,65,61,71,65,45,36,21,22,21,16,13,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA
66,6,10,23,29,47,41,46,56,80,65,65,56,48,34,22,29,24,11,12,6,6,5,1,4,1,1,NA,NA,NA,NA
465,1,2,7,14,43,42,55,48,47,43,56,64,59,56,33,29,27,22,8,10,13,14,15,7,5,5,3,2,2,NA
474,3,6,13,27,45,25,39,62,59,45,43,27,39,49,66,50,30,13,18,7,9,17,18,12,5,5,1,NA,NA,NA
159,3,8,23,35,45,59,54,51,43,33,32,32,35,29,22,14,12,9,8,12,8,11,5,2,7,4,1,1,1,NA
1024,2,30,34,50,45,36,40,36,54,78,74,66,30,30,43,17,13,18,9,7,9,2,4,5,2,1,NA,NA,NA,NA
69,2,4,18,54,76,99,69,74,55,57,54,44,38,22,16,16,15,8,3,3,3,1,1,NA,NA,NA,NA,NA,NA,NA
348,2,3,1,5,6,82,205,132,84,29,10,7,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
865,1,3,3,7,15,28,41,38,52,36,45,55,47,68,46,64,36,50,27,16,17,8,8,5,7,4,3,NA,NA,NA
107,5,5,7,24,34,44,37,52,56,43,55,48,48,55,43,26,26,20,10,12,16,15,7,9,12,8,6,7,4,1
214,3,1,2,1,4,27,46,61,39,43,58,65,93,62,53,45,30,21,19,21,13,10,4,4,1,3,1,NA,NA,NA
1016,2,2,6,8,48,77,100,71,51,20,33,34,50,43,33,32,18,15,11,15,12,5,13,11,12,2,4,2,NA,NA
140,2,1,1,1,8,17,46,83,62,76,59,56,66,49,42,35,22,27,23,17,12,12,6,5,1,1,1,1,NA,NA
1045,2,7,13,16,18,18,21,34,39,29,50,60,71,76,70,69,57,30,36,31,20,12,16,8,7,7,4,5,1,4
452,4,17,29,38,48,65,48,43,37,51,48,54,55,33,29,37,29,24,16,4,8,6,1,1,2,4,1,1,1,1
1023,14,20,53,41,50,61,48,61,59,55,57,38,28,19,25,12,16,15,12,8,7,6,8,6,3,5,1,1,2,NA
192,2,3,7,18,27,46,50,48,35,43,32,43,41,38,23,13,17,20,6,14,15,11,13,12,12,1,3,2,3,NA
723,2,1,4,7,24,34,35,51,60,54,52,53,50,49,56,42,31,27,16,19,12,16,11,8,2,1,3,6,4,2
802,10,13,36,38,41,43,42,47,43,39,51,50,35,44,53,32,18,14,17,15,6,12,7,10,2,6,7,2,2,NA
200,1,1,1,1,4,18,41,66,85,87,74,55,72,55,41,35,30,17,16,10,7,4,4,2,1,2,NA,NA,NA,NA
922,2,3,9,17,32,34,49,52,32,34,51,57,55,63,52,51,22,21,19,17,16,7,12,3,7,3,4,2,NA,NA
667,1,1,15,52,51,72,77,71,54,61,60,53,33,25,16,11,15,8,17,15,8,6,2,6,3,1,NA,NA,NA,NA
447,2,14,19,25,37,47,59,56,69,47,60,47,32,39,36,20,20,10,9,20,8,11,12,11,6,5,4,5,2,3
