Store,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50
1,1,1,2,3,4,6,15,18,29,19,36,37,36,26,36,21,38,39,30,35,22,31,26,34,29,25,20,16,20,14,12,12,7,6,4,6,1,3,3,1,1,2,2,1,1,1,NA,NA,NA,NA
2,6,10,28,21,32,11,13,14,17,26,45,36,34,26,33,35,33,38,14,25,16,18,23,18,20,29,27,12,24,10,8,8,7,4,1,3,2,3,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA
3,10,7,16,22,26,23,25,38,48,45,34,33,34,15,28,16,19,20,27,31,27,36,19,21,26,12,11,16,8,7,4,10,6,2,1,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,4,8,16,20,31,21,32,33,24,30,24,33,38,47,50,38,42,36,30,24,27,17,20,11,11,12,5,5,4,3,7,5,5,6,1,3,1,3,1,1,2,1,2,NA,NA,NA,NA,NA,NA
5,5,15,27,27,23,12,7,4,1,3,8,5,22,41,32,24,43,20,28,33,29,25,30,28,29,20,14,27,14,22,18,8,9,6,10,10,7,10,9,5,4,4,5,1,3,1,1,1,NA,NA
6,1,4,12,16,16,12,15,18,18,31,28,32,26,30,22,19,17,23,23,24,32,33,24,20,24,19,26,24,15,13,22,16,14,11,10,6,7,9,2,5,3,2,1,1,1,2,1,1,NA,NA
7,2,1,1,9,7,10,18,18,24,26,33,32,38,33,41,41,37,30,45,30,35,19,24,21,20,20,20,18,13,10,7,12,10,5,6,5,3,1,3,2,4,1,1,1,NA,NA,NA,NA,NA,NA
8,3,4,7,23,24,17,12,10,10,11,15,22,26,31,28,18,37,34,34,25,26,18,23,15,25,19,33,13,20,18,14,10,15,12,14,14,8,14,5,6,5,3,2,3,4,2,2,1,NA,NA
9,1,2,4,4,17,19,39,38,48,52,52,50,50,49,28,43,23,28,24,20,21,13,19,13,9,8,8,7,6,4,6,4,4,3,3,1,1,2,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA
10,1,3,2,1,4,6,9,14,34,35,51,46,45,37,31,31,27,23,43,33,31,31,25,23,20,17,11,13,10,2,14,3,7,12,6,5,9,5,3,3,2,3,2,1,1,NA,NA,NA,NA,NA
11,1,1,3,5,7,10,17,15,26,29,50,41,40,42,39,37,33,32,31,34,27,27,22,31,18,20,15,10,8,10,7,5,3,9,3,9,2,4,3,2,2,2,1,1,1,NA,NA,NA,NA,NA
12,11,14,21,37,48,39,56,47,34,29,20,12,19,12,23,23,23,19,25,21,28,22,25,12,12,10,7,12,3,6,6,9,6,7,7,6,4,2,2,5,2,1,1,1,2,2,1,1,NA,NA
