K	d	N	Method	TruePerf	alpha	bandwidth
1000	10	10	FullInfo	0.9776217288413562	0.0	-1.0
1000	10	10	SAA	1.1220804200089032	0.0	-1.0
1000	10	10	S-SAA	1.1095717775527127	1.0101010101010102	-1.0
1000	10	10	NW	1.302910973126331	0.0	0.01
1000	10	10	HS-NW	1.1036907003749101	1.0101010101010102	0.01
1000	10	10	NWbar	1.4101246711316109	0.0	0.7156565656565657
1000	10	10	S-NW	1.1004464306167365	1.0101010101010102	1.1692929292929293
1000	10	10	SAA	1.1269331988718208	0.0	-1.0
1000	10	10	S-SAA	1.0732110398774608	1.0101010101010102	-1.0
1000	10	10	NW	1.3475560355531524	0.0	0.01
1000	10	10	HS-NW	1.1159262623101678	1.0101010101010102	0.01
1000	10	10	NWbar	1.2595491359076045	0.0	0.6652525252525252
1000	10	10	S-NW	1.0695884166836631	1.0101010101010102	1.7741414141414142
1000	10	10	SAA	1.1297346312414058	0.0	-1.0
1000	10	10	S-SAA	1.1297346312414058	0.0	-1.0
1000	10	10	NW	1.3111834317904452	0.0	0.01
1000	10	10	HS-NW	1.1242596833706446	2.0202020202020203	0.01
1000	10	10	NWbar	1.259157147316406	0.0	0.6652525252525252
1000	10	10	S-NW	1.0988939543601426	1.0101010101010102	4.495959595959596
1000	10	10	SAA	1.1041512607760366	0.0	-1.0
1000	10	10	S-SAA	1.0881613479248662	1.0101010101010102	-1.0
1000	10	10	NW	1.3279167421936082	0.0	0.01
1000	10	10	HS-NW	1.1041512607760366	0.0	0.01
1000	10	10	NWbar	1.4307143068690078	0.0	0.7156565656565657
1000	10	10	S-NW	1.0845845108222358	1.0101010101010102	0.8164646464646464
1000	10	10	SAA	1.1288386670208874	0.0	-1.0
1000	10	10	S-SAA	1.1288386670208874	0.0	-1.0
1000	10	10	NW	1.3330247234234558	0.0	0.01
1000	10	10	HS-NW	1.1288386670208874	0.0	0.01
1000	10	10	NWbar	1.3011442214024194	0.0	0.6652525252525252
1000	10	10	S-NW	1.1288386670208874	0.0	0.01
1000	10	10	SAA	1.1060297537276031	0.0	-1.0
1000	10	10	S-SAA	1.1056573923998991	1.0101010101010102	-1.0
1000	10	10	NW	1.3049330001497523	0.0	0.01
1000	10	10	HS-NW	1.1060297537276031	0.0	0.01
1000	10	10	NWbar	1.1447010830501956	0.0	0.6148484848484849
1000	10	10	S-NW	1.1060297537276031	0.0	0.01
1000	10	10	SAA	1.1081548462032407	0.0	-1.0
1000	10	10	S-SAA	1.1081548462032407	0.0	-1.0
1000	10	10	NW	1.293825551995692	0.0	0.01
1000	10	10	HS-NW	1.0952649719075562	2.0202020202020203	0.01
1000	10	10	NWbar	1.1178044642882354	0.0	0.6148484848484849
1000	10	10	S-NW	1.0880283279044984	1.0101010101010102	0.16121212121212122
1000	10	10	SAA	1.0769782520037494	0.0	-1.0
1000	10	10	S-SAA	1.0659424658655399	1.0101010101010102	-1.0
1000	10	10	NW	1.302977594950666	0.0	0.01
1000	10	10	HS-NW	1.0678542716975898	1.0101010101010102	0.01
1000	10	10	NWbar	1.2458252775488208	0.0	0.6652525252525252
1000	10	10	S-NW	1.0644861739149147	1.0101010101010102	0.7156565656565657
1000	10	10	SAA	1.0762221554119278	0.0	-1.0
1000	10	10	S-SAA	1.0762221554119278	0.0	-1.0
1000	10	10	NW	1.3145209313785031	0.0	0.01
1000	10	10	HS-NW	1.0708364493861717	1.0101010101010102	0.01
1000	10	10	NWbar	1.2480296898038228	0.0	0.6652525252525252
1000	10	10	S-NW	1.0559687960016866	1.0101010101010102	0.6652525252525252
1000	10	10	SAA	1.0938000277115199	0.0	-1.0
1000	10	10	S-SAA	1.0938000277115199	0.0	-1.0
1000	10	10	NW	1.305644349460204	0.0	0.01
1000	10	10	HS-NW	1.0938000277115199	0.0	0.01
1000	10	10	NWbar	1.0938000277115199	0.0	0.01
1000	10	10	S-NW	1.0839550036555174	1.0101010101010102	4.848787878787879
1000	10	10	SAA	1.1247939653398444	0.0	-1.0
1000	10	10	S-SAA	1.1247939653398444	0.0	-1.0
1000	10	10	NW	1.2959291642154405	0.0	0.01
1000	10	10	HS-NW	1.1122387610490851	3.0303030303030303	0.01
1000	10	10	NWbar	1.1146043524540035	0.0	0.5644444444444444
1000	10	10	S-NW	1.1030482457791773	1.0101010101010102	4.596767676767676
1000	10	10	SAA	1.1195248961155366	0.0	-1.0
1000	10	10	S-SAA	1.1008156851847506	1.0101010101010102	-1.0
1000	10	10	NW	1.3021533246040498	0.0	0.01
1000	10	10	HS-NW	1.107129132545585	2.0202020202020203	0.01
1000	10	10	NWbar	1.1195248961155366	0.0	0.41323232323232323
1000	10	10	S-NW	1.0895457020865484	1.0101010101010102	0.5140404040404041
1000	10	10	SAA	1.0657134424355923	0.0	-1.0
1000	10	10	S-SAA	1.0657134424355923	0.0	-1.0
1000	10	10	NW	1.3061288684319095	0.0	0.01
1000	10	10	HS-NW	1.0605625120232205	1.0101010101010102	0.01
1000	10	10	NWbar	1.0654776862806987	0.0	0.5644444444444444
1000	10	10	S-NW	1.0580891680912614	1.0101010101010102	0.16121212121212122
1000	10	10	SAA	1.0862679220405265	0.0	-1.0
1000	10	10	S-SAA	1.0862679220405265	0.0	-1.0
1000	10	10	NW	1.2962461219750119	0.0	0.01
1000	10	10	HS-NW	1.0788861581816087	1.0101010101010102	0.01
1000	10	10	NWbar	1.2570279581436303	0.0	0.6652525252525252
1000	10	10	S-NW	1.0788861581816087	1.0101010101010102	0.01
1000	10	10	SAA	1.1256399492529243	0.0	-1.0
1000	10	10	S-SAA	1.123506236559187	1.0101010101010102	-1.0
1000	10	10	NW	1.3001983994706394	0.0	0.01
1000	10	10	HS-NW	1.1181529263443093	1.0101010101010102	0.01
1000	10	10	NWbar	1.1331732150454286	0.0	0.6148484848484849
1000	10	10	S-NW	1.1054478404558434	1.0101010101010102	4.3951515151515155
1000	10	10	SAA	1.0915305189106441	0.0	-1.0
1000	10	10	S-SAA	1.0915305189106441	0.0	-1.0
1000	10	10	NW	1.2667198066993424	0.0	0.01
1000	10	10	HS-NW	1.0888657473537449	2.0202020202020203	0.01
1000	10	10	NWbar	1.375475781656551	0.0	0.7156565656565657
1000	10	10	S-NW	1.0870534524700335	1.0101010101010102	0.060404040404040404
1000	10	10	SAA	1.0605367272706119	0.0	-1.0
1000	10	10	S-SAA	1.0605367272706119	0.0	-1.0
