K	d	N	Method	TruePerf	alpha	bandwidth
1000	10	10	FullInfo	0.9057442773285828	0.0	-1.0
1000	10	10	SAA	1.0584142822008966	0.0	-1.0
1000	10	10	S-SAA	1.027582197370464	1.0101010101010102	-1.0
1000	10	10	NW	1.2541924220449558	0.0	0.01
1000	10	10	HS-NW	1.0378207813666367	2.0202020202020203	0.01
1000	10	10	NWbar	1.0403870075431423	0.0	0.5644444444444444
1000	10	10	S-NW	1.0271161204272872	1.0101010101010102	0.8164646464646464
1000	10	10	SAA	1.0216825722770813	0.0	-1.0
1000	10	10	S-SAA	1.0075370154733954	1.0101010101010102	-1.0
1000	10	10	NW	1.2502916837109155	0.0	0.01
1000	10	10	HS-NW	1.0187330725277959	1.0101010101010102	0.01
1000	10	10	NWbar	1.4824438708390295	0.0	0.7660606060606061
1000	10	10	S-NW	0.9931746917045823	1.0101010101010102	4.294343434343435
1000	10	10	SAA	1.0052250929560689	0.0	-1.0
1000	10	10	S-SAA	1.0052250929560689	0.0	-1.0
1000	10	10	NW	1.2266998145953933	0.0	0.01
1000	10	10	HS-NW	1.0020917540976964	2.0202020202020203	0.01
1000	10	10	NWbar	1.023831589970283	0.0	0.6148484848484849
1000	10	10	S-NW	0.9975361009685384	1.0101010101010102	4.798383838383838
1000	10	10	SAA	0.9951114741718218	0.0	-1.0
1000	10	10	S-SAA	0.9951114741718218	0.0	-1.0
1000	10	10	NW	1.2623600871162408	0.0	0.01
1000	10	10	HS-NW	0.9858237956014111	1.0101010101010102	0.01
1000	10	10	NWbar	1.037612195895226	0.0	0.6148484848484849
1000	10	10	S-NW	0.9858237956014111	1.0101010101010102	0.01
1000	10	10	SAA	1.0342644051660936	0.0	-1.0
1000	10	10	S-SAA	1.0051784608832404	1.0101010101010102	-1.0
1000	10	10	NW	1.2368389220408897	0.0	0.01
1000	10	10	HS-NW	1.0247096077399085	1.0101010101010102	0.01
1000	10	10	NWbar	1.206150063834413	0.0	0.6652525252525252
1000	10	10	S-NW	0.9968065298851548	1.0101010101010102	2.4797979797979797
1000	10	10	SAA	1.0222989613495002	0.0	-1.0
1000	10	10	S-SAA	1.0164549785569386	1.0101010101010102	-1.0
1000	10	10	NW	1.2526721783851476	0.0	0.01
1000	10	10	HS-NW	1.0082774977855256	2.0202020202020203	0.01
1000	10	10	NWbar	1.0321324428454828	0.0	0.6148484848484849
