K	d	N	Method	TruePerf	alpha	bandwidth
1000	10	10	FullInfo	1.4457148437184624	0.0	-1.0
1000	10	10	SAA	1.6473910879249285	0.0	-1.0
1000	10	10	S-SAA	1.6473910879249285	0.0	-1.0
1000	10	10	NW	3.4663603519482917	0.0	0.01
1000	10	10	HS-NW	1.6473910879249285	0.0	0.01
1000	10	10	NWbar	2.3358195548803673	0.0	0.5644444444444444
1000	10	10	S-NW	1.6473910879249285	0.0	0.01
1000	10	10	SAA	1.6047176189490446	0.0	-1.0
1000	10	10	S-SAA	1.6047176189490446	0.0	-1.0
1000	10	10	NW	3.494355430383371	0.0	0.01
1000	10	10	HS-NW	1.6047176189490446	0.0	0.01
1000	10	10	NWbar	1.630920004659512	0.0	0.5140404040404041
1000	10	10	S-NW	1.6047176189490446	0.0	0.01
1000	10	10	SAA	1.6344576902260448	0.0	-1.0
1000	10	10	S-SAA	1.6319473089981689	1.0101010101010102	-1.0
1000	10	10	NW	3.491255366517803	0.0	0.01
1000	10	10	HS-NW	1.622798815267483	1.0101010101010102	0.01
1000	10	10	NWbar	2.3288756824246795	0.0	0.5644444444444444
1000	10	10	S-NW	1.6217563944837157	1.0101010101010102	0.060404040404040404
1000	10	10	SAA	1.602026374396423	0.0	-1.0
1000	10	10	S-SAA	1.602026374396423	0.0	-1.0
1000	10	10	NW	3.471782941790252	0.0	0.01
1000	10	10	HS-NW	1.5984488483776442	1.0101010101010102	0.01
1000	10	10	NWbar	3.462404332394263	0.0	0.6652525252525252
1000	10	10	S-NW	1.5984488483776442	1.0101010101010102	0.01
1000	10	10	SAA	1.623090065498969	0.0	-1.0
1000	10	10	S-SAA	1.6072028516949313	1.0101010101010102	-1.0
1000	10	10	NW	3.4973082822339423	0.0	0.01
1000	10	10	HS-NW	1.5943084896220372	1.0101010101010102	0.01
1000	10	10	NWbar	1.612693295379188	0.0	0.5140404040404041
1000	10	10	S-NW	1.5943084896220372	1.0101010101010102	0.01
1000	10	10	SAA	1.5909377540568008	0.0	-1.0
1000	10	10	S-SAA	1.5761477976001355	1.0101010101010102	-1.0
1000	10	10	NW	4.223972519826843	0.0	5.0
1000	10	10	HS-NW	1.571347928721725	1.0101010101010102	5.0
1000	10	10	NWbar	2.32396595042811	0.0	0.5644444444444444
1000	10	10	S-NW	1.5699527728359262	1.0101010101010102	0.4636363636363636
