K	d	N	Method	TruePerf	alpha	bandwidth
1000	10	10	FullInfo	2.0988422220353886	0.0	-1.0
1000	10	10	SAA	2.3673740835897688	0.0	-1.0
1000	10	10	S-SAA	2.33360107835363	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.21161616161616162
1000	10	10	HS-NW	2.33360107835363	1.0101010101010102	0.21161616161616162
1000	10	10	NWbar	2.3373721458348196	0.0	0.4636363636363636
1000	10	10	S-NW	2.33360107835363	1.0101010101010102	0.01
1000	10	10	SAA	2.3587442333374797	0.0	-1.0
1000	10	10	S-SAA	2.3241644931132104	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.21161616161616162
1000	10	10	HS-NW	2.3241644931132104	1.0101010101010102	0.21161616161616162
1000	10	10	NWbar	2.7205592143305366	0.0	0.5140404040404041
1000	10	10	S-NW	2.3241644931132104	1.0101010101010102	0.01
1000	10	10	SAA	2.3935493992649137	0.0	-1.0
1000	10	10	S-SAA	2.3868296742214445	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.21161616161616162
1000	10	10	HS-NW	2.3868296742214445	1.0101010101010102	0.21161616161616162
1000	10	10	NWbar	2.3807116814763516	0.0	0.4636363636363636
1000	10	10	S-NW	2.3868296742214445	1.0101010101010102	0.01
1000	10	10	SAA	2.3939867940893795	0.0	-1.0
1000	10	10	S-SAA	2.367074718151476	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.21161616161616162
1000	10	10	HS-NW	2.367074718151476	1.0101010101010102	0.21161616161616162
1000	10	10	NWbar	2.744852556204188	0.0	0.5140404040404041
1000	10	10	S-NW	2.367074718151476	1.0101010101010102	0.01
1000	10	10	SAA	2.329449450529903	0.0	-1.0
1000	10	10	S-SAA	2.3202412790163933	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	2.026161616161616
1000	10	10	HS-NW	2.3202412790163933	1.0101010101010102	2.026161616161616
1000	10	10	NWbar	2.320921952241265	0.0	0.4636363636363636
1000	10	10	S-NW	2.3202412790163933	1.0101010101010102	0.01
1000	10	10	SAA	2.3692318601397626	0.0	-1.0
1000	10	10	S-SAA	2.358290056984158	1.0101010101010102	-1.0
1000	10	10	NW	4.1880061570646125	0.0	0.21161616161616162
1000	10	10	HS-NW	2.358290056984158	1.0101010101010102	0.21161616161616162
1000	10	10	NWbar	3.909358888412991	0.0	0.6148484848484849
