K	d	N	Method	TruePerf	alpha	bandwidth
1000	10	10	FullInfo	0.5171098318477424	0.0	-1.0
1000	10	10	SAA	0.6082339649542393	0.0	-1.0
1000	10	10	S-SAA	0.6022052254072553	1.0101010101010102	-1.0
1000	10	10	NW	0.7051543627127352	0.0	0.01
1000	10	10	HS-NW	0.6018093491030133	3.0303030303030303	0.01
1000	10	10	NWbar	0.7218803622973722	0.0	0.7156565656565657
1000	10	10	S-NW	0.5943104336270892	1.0101010101010102	0.36282828282828283
1000	10	10	SAA	0.5938290313456239	0.0	-1.0
1000	10	10	S-SAA	0.5938290313456239	0.0	-1.0
1000	10	10	NW	0.6922051715343244	0.0	0.01
1000	10	10	HS-NW	0.5911706263418353	3.0303030303030303	0.01
1000	10	10	NWbar	0.6744667879412469	0.0	0.6652525252525252
1000	10	10	S-NW	0.5848104858757865	1.0101010101010102	0.11080808080808081
1000	10	10	SAA	0.5796139503952262	0.0	-1.0
1000	10	10	S-SAA	0.5796139503952262	0.0	-1.0
1000	10	10	NW	0.6835114246089434	0.0	0.01
1000	10	10	HS-NW	0.5787552771461116	2.0202020202020203	0.01
1000	10	10	NWbar	0.6032759884371316	0.0	0.6148484848484849
1000	10	10	S-NW	0.5718236645289392	1.0101010101010102	0.060404040404040404
1000	10	10	SAA	0.567652389117859	0.0	-1.0
1000	10	10	S-SAA	0.567652389117859	0.0	-1.0
1000	10	10	NW	0.6836915675922368	0.0	0.01
1000	10	10	HS-NW	0.5670111021194362	1.0101010101010102	0.01
1000	10	10	NWbar	0.5965202411610147	0.0	0.6148484848484849
1000	10	10	S-NW	0.5670111021194362	1.0101010101010102	0.01
1000	10	10	SAA	0.6076243866926584	0.0	-1.0
1000	10	10	S-SAA	0.6076243866926584	0.0	-1.0
1000	10	10	NW	0.6958747556812199	0.0	0.01
1000	10	10	HS-NW	0.6045347548540102	2.0202020202020203	0.01
1000	10	10	NWbar	0.6113394842959025	0.0	0.6148484848484849
1000	10	10	S-NW	0.5981502641396645	1.0101010101010102	0.16121212121212122
1000	10	10	SAA	0.5596965777429157	0.0	-1.0
1000	10	10	S-SAA	0.5596965777429157	0.0	-1.0
1000	10	10	NW	0.6771223473357151	0.0	0.01
1000	10	10	HS-NW	0.5596965777429157	0.0	0.01
1000	10	10	NWbar	0.6628023123964766	0.0	0.6652525252525252
1000	10	10	S-NW	0.5596965777429157	0.0	0.01
1000	10	10	SAA	0.5605142165694839	0.0	-1.0
1000	10	10	S-SAA	0.5605142165694839	0.0	-1.0
1000	10	10	NW	0.6686572721052616	0.0	0.01
1000	10	10	HS-NW	0.559100724971941	1.0101010101010102	0.01
1000	10	10	NWbar	0.5583954053971413	0.0	0.5644444444444444
1000	10	10	S-NW	0.559100724971941	1.0101010101010102	0.01
1000	10	10	SAA	0.5829036009647863	0.0	-1.0
1000	10	10	S-SAA	0.5829036009647863	0.0	-1.0
1000	10	10	NW	0.6871236516387085	0.0	0.01
1000	10	10	HS-NW	0.5795731887213169	2.0202020202020203	0.01
1000	10	10	NWbar	0.5821052046060073	0.0	0.5644444444444444
1000	10	10	S-NW	0.5740449643298247	1.0101010101010102	3.1854545454545455
1000	10	10	SAA	0.5938445604746778	0.0	-1.0
1000	10	10	S-SAA	0.5853879506233178	1.0101010101010102	-1.0
1000	10	10	NW	0.6869041230830862	0.0	0.01
1000	10	10	HS-NW	0.5922609015175996	1.0101010101010102	0.01
1000	10	10	NWbar	0.6160773600109845	0.0	0.6148484848484849
1000	10	10	S-NW	0.5862649230654079	1.0101010101010102	3.034242424242424
1000	10	10	SAA	0.5723723154110323	0.0	-1.0
1000	10	10	S-SAA	0.5717008959417091	1.0101010101010102	-1.0
1000	10	10	NW	0.6827963363782769	0.0	0.01
1000	10	10	HS-NW	0.565740697090533	1.0101010101010102	0.01
1000	10	10	NWbar	0.5849898360020501	0.0	0.6148484848484849
1000	10	10	S-NW	0.5599892001079358	1.0101010101010102	1.1692929292929293
1000	10	10	SAA	0.5784460180982903	0.0	-1.0
1000	10	10	S-SAA	0.5784460180982903	0.0	-1.0
1000	10	10	NW	0.6724254865206525	0.0	0.01
1000	10	10	HS-NW	0.5784460180982903	0.0	0.01
1000	10	10	NWbar	0.6517941666624899	0.0	0.6652525252525252
1000	10	10	S-NW	0.5784460180982903	0.0	0.01
1000	10	10	SAA	0.5735178483268271	0.0	-1.0
1000	10	10	S-SAA	0.5735178483268271	0.0	-1.0
1000	10	10	NW	0.6804299247710529	0.0	0.01
1000	10	10	HS-NW	0.5617803867913831	2.0202020202020203	0.01
1000	10	10	NWbar	0.5740626145478347	0.0	0.5140404040404041
1000	10	10	S-NW	0.5585911079649821	1.0101010101010102	0.060404040404040404
1000	10	10	SAA	0.5502393737910005	0.0	-1.0
1000	10	10	S-SAA	0.5502393737910005	0.0	-1.0
1000	10	10	NW	0.6725767814336981	0.0	0.01
1000	10	10	HS-NW	0.5502393737910005	0.0	0.01
1000	10	10	NWbar	0.5557534069868972	0.0	0.5644444444444444
1000	10	10	S-NW	0.5502393737910005	0.0	0.01
1000	10	10	SAA	0.5936949734664215	0.0	-1.0
1000	10	10	S-SAA	0.5936949734664215	0.0	-1.0
1000	10	10	NW	0.6878562017114978	0.0	0.01
1000	10	10	HS-NW	0.5827337412024537	3.0303030303030303	0.01
1000	10	10	NWbar	0.6098986339357307	0.0	0.6148484848484849
1000	10	10	S-NW	0.5827337412024537	3.0303030303030303	0.01
1000	10	10	SAA	0.5917413518737109	0.0	-1.0
1000	10	10	S-SAA	0.580350580952677	1.0101010101010102	-1.0
1000	10	10	NW	0.6710385214740195	0.0	0.01
1000	10	10	HS-NW	0.5793872084450773	1.0101010101010102	0.01
1000	10	10	NWbar	0.5767666157317551	0.0	0.5644444444444444
1000	10	10	S-NW	0.5715169804590998	1.0101010101010102	0.11080808080808081
1000	10	10	SAA	0.5717835557974114	0.0	-1.0
1000	10	10	S-SAA	0.5717835557974114	0.0	-1.0
1000	10	10	NW	0.6886901818806705	0.0	0.01
1000	10	10	HS-NW	0.5700186490690572	1.0101010101010102	0.01
1000	10	10	NWbar	0.6555606094806019	0.0	0.6652525252525252
1000	10	10	S-NW	0.5685880467560198	1.0101010101010102	1.8245454545454545
1000	10	10	SAA	0.5754511321053306	0.0	-1.0
1000	10	10	S-SAA	0.5754511321053306	0.0	-1.0
1000	10	10	NW	0.7132540855655902	0.0	0.01
1000	10	10	HS-NW	0.5749080011005774	1.0101010101010102	0.01
1000	10	10	NWbar	0.6011216497003147	0.0	0.6148484848484849
1000	10	10	S-NW	0.5749080011005774	1.0101010101010102	0.01
1000	10	10	SAA	0.5700197448163213	0.0	-1.0
1000	10	10	S-SAA	0.5700197448163213	0.0	-1.0
1000	10	10	NW	0.6682144209823628	0.0	0.01
1000	10	10	HS-NW	0.5700197448163213	0.0	0.01
1000	10	10	NWbar	0.6018898753335488	0.0	0.6148484848484849
1000	10	10	S-NW	0.5700197448163213	0.0	0.01
1000	10	10	SAA	0.5978089316618677	0.0	-1.0
1000	10	10	S-SAA	0.5873231228796446	1.0101010101010102	-1.0
1000	10	10	NW	0.7089095681447699	0.0	0.01
1000	10	10	HS-NW	0.5934941156280089	4.040404040404041	0.01
1000	10	10	NWbar	0.6800530013673093	0.0	0.6652525252525252
1000	10	10	S-NW	0.5890754165669679	1.0101010101010102	4.344747474747475
1000	10	10	SAA	0.5613102355940904	0.0	-1.0
1000	10	10	S-SAA	0.5613102355940904	0.0	-1.0
1000	10	10	NW	0.6721310086266633	0.0	0.01
1000	10	10	HS-NW	0.5613102355940904	0.0	0.01
1000	10	10	NWbar	0.5613102355940904	0.0	0.01
1000	10	10	S-NW	0.5613102355940904	0.0	0.01
1000	10	10	SAA	0.5965029585275506	0.0	-1.0
1000	10	10	S-SAA	0.5755533729282594	1.0101010101010102	-1.0
1000	10	10	NW	0.6943757454359964	0.0	0.01
1000	10	10	HS-NW	0.5864954694454773	2.0202020202020203	0.01
1000	10	10	NWbar	0.5825333980976691	0.0	0.5644444444444444
1000	10	10	S-NW	0.5814856605684301	1.0101010101010102	0.060404040404040404
1000	10	10	SAA	0.5859744620152686	0.0	-1.0
1000	10	10	S-SAA	0.5786549117281571	1.0101010101010102	-1.0
1000	10	10	NW	0.6770053071474331	0.0	0.01
1000	10	10	HS-NW	0.582150409579534	1.0101010101010102	0.01
1000	10	10	NWbar	0.6394732898754689	0.0	0.6652525252525252
1000	10	10	S-NW	0.5652596696892497	1.0101010101010102	4.9495959595959595
1000	10	10	SAA	0.582743293124862	0.0	-1.0
1000	10	10	S-SAA	0.5719093061988425	1.0101010101010102	-1.0
1000	10	10	NW	0.6820011804464566	0.0	0.01
1000	10	10	HS-NW	0.5800734229193497	2.0202020202020203	0.01
1000	10	10	NWbar	0.5816541396454529	0.0	0.5140404040404041
1000	10	10	S-NW	0.5671334335063537	1.0101010101010102	4.899191919191919
1000	10	10	SAA	0.581622783144305	0.0	-1.0
1000	10	10	S-SAA	0.581622783144305	0.0	-1.0
1000	10	10	NW	0.6894094844294374	0.0	0.01
1000	10	10	HS-NW	0.5708704961433684	2.0202020202020203	0.01
1000	10	10	NWbar	0.6007933471370683	0.0	0.6148484848484849
1000	10	10	S-NW	0.5669725672358972	1.0101010101010102	0.060404040404040404
1000	10	10	SAA	0.5904412795294772	0.0	-1.0
1000	10	10	S-SAA	0.5862880010750952	1.0101010101010102	-1.0
1000	10	10	NW	0.6955937352640651	0.0	0.01
1000	10	10	HS-NW	0.5860924792963711	1.0101010101010102	0.01
1000	10	10	NWbar	0.5858436490387099	0.0	0.5140404040404041
1000	10	10	S-NW	0.5613085808368194	1.0101010101010102	2.53020202020202
1000	10	10	SAA	0.5833380781620053	0.0	-1.0
1000	10	10	S-SAA	0.5833380781620053	0.0	-1.0
1000	10	10	NW	0.7017477948344581	0.0	0.01
1000	10	10	HS-NW	0.5796095464023059	1.0101010101010102	0.01
1000	10	10	NWbar	0.5833380781620053	0.0	0.01
1000	10	10	S-NW	0.5759478944032723	1.0101010101010102	0.36282828282828283
1000	10	10	SAA	0.5630209848768555	0.0	-1.0
1000	10	10	S-SAA	0.5630209848768555	0.0	-1.0
1000	10	10	NW	0.69464619848178	0.0	0.01
1000	10	10	HS-NW	0.5630209848768555	0.0	0.01
1000	10	10	NWbar	0.5856624624782104	0.0	0.6148484848484849
1000	10	10	S-NW	0.560921124545134	1.0101010101010102	2.026161616161616
1000	10	10	SAA	0.5835670975054679	0.0	-1.0
1000	10	10	S-SAA	0.5835670975054679	0.0	-1.0
1000	10	10	NW	0.6900943140636971	0.0	0.01
1000	10	10	HS-NW	0.5817005286813562	2.0202020202020203	0.01
1000	10	10	NWbar	0.5835670975054679	0.0	0.01
1000	10	10	S-NW	0.5817005286813562	2.0202020202020203	0.01
1000	10	10	SAA	0.6002407019003246	0.0	-1.0
1000	10	10	S-SAA	0.6002407019003246	0.0	-1.0
1000	10	10	NW	0.6934302828555444	0.0	0.01
1000	10	10	HS-NW	0.5974093106646184	1.0101010101010102	0.01
1000	10	10	NWbar	0.5997146733904899	0.0	0.5644444444444444
1000	10	10	S-NW	0.5974093106646184	1.0101010101010102	0.01
1000	10	10	SAA	0.5955208629594121	0.0	-1.0
1000	10	10	S-SAA	0.5920736539404513	1.0101010101010102	-1.0
1000	10	10	NW	0.6956185386449429	0.0	0.01
1000	10	10	HS-NW	0.5926217993902468	2.0202020202020203	0.01
1000	10	10	NWbar	0.6140959397367365	0.0	0.6148484848484849
1000	10	10	S-NW	0.5916117255731815	1.0101010101010102	0.31242424242424244
1000	10	10	SAA	0.573063695006537	0.0	-1.0
1000	10	10	S-SAA	0.573063695006537	0.0	-1.0
1000	10	10	NW	0.6912678657626666	0.0	0.01
1000	10	10	HS-NW	0.573063695006537	0.0	0.01
1000	10	10	NWbar	0.573063695006537	0.0	0.01
1000	10	10	S-NW	0.573063695006537	0.0	0.01
1000	10	10	SAA	0.5844313589973347	0.0	-1.0
1000	10	10	S-SAA	0.5815664091667568	1.0101010101010102	-1.0
1000	10	10	NW	0.6960079338027734	0.0	0.01
1000	10	10	HS-NW	0.5780034181151976	3.0303030303030303	0.01
1000	10	10	NWbar	0.5729886468524363	0.0	0.5644444444444444
1000	10	10	S-NW	0.572325979236573	1.0101010101010102	0.11080808080808081
1000	10	10	SAA	0.5866749282004736	0.0	-1.0
1000	10	10	S-SAA	0.5730216489260932	1.0101010101010102	-1.0
1000	10	10	NW	0.6891824635576274	0.0	0.01
1000	10	10	HS-NW	0.5743678486232282	2.0202020202020203	0.01
1000	10	10	NWbar	0.5764834068336547	0.0	0.5644444444444444
1000	10	10	S-NW	0.5717189901006478	1.0101010101010102	0.060404040404040404
1000	10	10	SAA	0.5849522797207549	0.0	-1.0
1000	10	10	S-SAA	0.5849522797207549	0.0	-1.0
1000	10	10	NW	0.6875842467862893	0.0	0.01
1000	10	10	HS-NW	0.5831939740140173	2.0202020202020203	0.01
1000	10	10	NWbar	0.6015399467613959	0.0	0.6148484848484849
1000	10	10	S-NW	0.5779359867288381	1.0101010101010102	0.060404040404040404
1000	10	10	SAA	0.5515117173994092	0.0	-1.0
1000	10	10	S-SAA	0.5515117173994092	0.0	-1.0
1000	10	10	NW	0.6764326418110707	0.0	0.01
1000	10	10	HS-NW	0.5515117173994092	0.0	0.01
1000	10	10	NWbar	0.5515117173994092	0.0	0.4636363636363636
1000	10	10	S-NW	0.5515117173994092	0.0	0.01
1000	10	10	SAA	0.5715173831507145	0.0	-1.0
1000	10	10	S-SAA	0.5715173831507145	0.0	-1.0
1000	10	10	NW	0.6781962033339105	0.0	0.01
1000	10	10	HS-NW	0.5687948722339974	3.0303030303030303	0.01
1000	10	10	NWbar	0.5715173831507145	0.0	0.01
1000	10	10	S-NW	0.560647597242376	1.0101010101010102	0.060404040404040404
1000	10	10	SAA	0.5904421823764963	0.0	-1.0
1000	10	10	S-SAA	0.5855311853829853	1.0101010101010102	-1.0
1000	10	10	NW	0.6996227727036719	0.0	0.01
1000	10	10	HS-NW	0.5904421823764963	0.0	0.01
1000	10	10	NWbar	0.6138242944680353	0.0	0.6148484848484849
1000	10	10	S-NW	0.5753087310782569	1.0101010101010102	4.9495959595959595
1000	10	10	SAA	0.5680027860000485	0.0	-1.0
1000	10	10	S-SAA	0.5630205597910497	1.0101010101010102	-1.0
1000	10	10	NW	0.6780338971047302	0.0	0.01
1000	10	10	HS-NW	0.5561042105045512	2.0202020202020203	0.01
1000	10	10	NWbar	0.5680027860000485	0.0	0.01
1000	10	10	S-NW	0.5541803089686241	1.0101010101010102	2.631010101010101
1000	10	10	SAA	0.5594570180255803	0.0	-1.0
1000	10	10	S-SAA	0.5594570180255803	0.0	-1.0
1000	10	10	NW	0.6767116368757677	0.0	0.01
1000	10	10	HS-NW	0.5584027686297914	1.0101010101010102	0.01
1000	10	10	NWbar	0.5739544842820542	0.0	0.6148484848484849
1000	10	10	S-NW	0.5480138610700577	1.0101010101010102	0.16121212121212122
1000	10	10	SAA	0.5857841270911942	0.0	-1.0
1000	10	10	S-SAA	0.5857841270911942	0.0	-1.0
1000	10	10	NW	0.6997296393535959	0.0	0.01
1000	10	10	HS-NW	0.5857841270911942	0.0	0.01
1000	10	10	NWbar	0.6638887976155753	0.0	0.6652525252525252
1000	10	10	S-NW	0.5815534426199611	1.0101010101010102	0.060404040404040404
1000	10	10	SAA	0.5859984193565888	0.0	-1.0
1000	10	10	S-SAA	0.5859984193565888	0.0	-1.0
1000	10	10	NW	0.6899307695726172	0.0	0.01
1000	10	10	HS-NW	0.5855273777468588	1.0101010101010102	0.01
1000	10	10	NWbar	0.5859984193565888	0.0	0.01
1000	10	10	S-NW	0.5784490109717275	1.0101010101010102	0.36282828282828283
1000	10	10	SAA	0.6015192623708507	0.0	-1.0
1000	10	10	S-SAA	0.5823639808955224	1.0101010101010102	-1.0
1000	10	10	NW	0.6876951931107447	0.0	0.01
1000	10	10	HS-NW	0.5916403621844409	4.040404040404041	0.01
1000	10	10	NWbar	0.6674865306955917	0.0	0.6652525252525252
1000	10	10	S-NW	0.5836350579263553	1.0101010101010102	3.4374747474747473
1000	10	10	SAA	0.5931845585819354	0.0	-1.0
1000	10	10	S-SAA	0.5931845585819354	0.0	-1.0
1000	10	10	NW	0.6887431593311072	0.0	0.01
1000	10	10	HS-NW	0.5811767424554071	3.0303030303030303	0.01
