K	d	N	Method	TruePerf	alpha	bandwidth
1000	10	10	FullInfo	1.5642636507272314	0.0	-1.0
1000	10	10	SAA	1.7636104783241406	0.0	-1.0
1000	10	10	S-SAA	1.723573670435587	1.0101010101010102	-1.0
1000	10	10	NW	2.030097830571491	0.0	0.01
1000	10	10	HS-NW	1.726498724137281	2.0202020202020203	0.01
1000	10	10	NWbar	1.9416776862326643	0.0	0.6652525252525252
1000	10	10	S-NW	1.720533337406414	2.0202020202020203	5.0
1000	10	10	SAA	1.7634706352432807	0.0	-1.0
1000	10	10	S-SAA	1.7373542620927067	1.0101010101010102	-1.0
1000	10	10	NW	2.0359843072701254	0.0	0.01
1000	10	10	HS-NW	1.717947089814546	2.0202020202020203	0.01
1000	10	10	NWbar	1.7389229761192027	0.0	0.5140404040404041
1000	10	10	S-NW	1.717947089814546	2.0202020202020203	0.01
1000	10	10	SAA	1.7344057094960237	0.0	-1.0
1000	10	10	S-SAA	1.7344057094960237	0.0	-1.0
1000	10	10	NW	2.019539401529798	0.0	0.01
1000	10	10	HS-NW	1.7344057094960237	0.0	0.01
1000	10	10	NWbar	1.7327952389960108	0.0	0.5644444444444444
1000	10	10	S-NW	1.722128895368022	1.0101010101010102	0.16121212121212122
1000	10	10	SAA	1.7480427633085	0.0	-1.0
1000	10	10	S-SAA	1.7226510204635732	1.0101010101010102	-1.0
1000	10	10	NW	2.011340257011728	0.0	0.01
1000	10	10	HS-NW	1.7277365725567968	2.0202020202020203	0.01
1000	10	10	NWbar	1.7320818440159345	0.0	0.5644444444444444
1000	10	10	S-NW	1.7178851145527338	1.0101010101010102	0.11080808080808081
1000	10	10	SAA	1.8005081173697806	0.0	-1.0
1000	10	10	S-SAA	1.7600794638354724	1.0101010101010102	-1.0
1000	10	10	NW	2.007816022120437	0.0	0.01
1000	10	10	HS-NW	1.7554070470091985	2.0202020202020203	0.01
1000	10	10	NWbar	1.9258497697546701	0.0	0.6652525252525252
1000	10	10	S-NW	1.716841228805407	2.0202020202020203	0.16121212121212122
1000	10	10	SAA	1.7455595363524876	0.0	-1.0
1000	10	10	S-SAA	1.7237869197793871	1.0101010101010102	-1.0
1000	10	10	NW	1.9972726417067703	0.0	0.01
1000	10	10	HS-NW	1.7218978940648124	2.0202020202020203	0.01
1000	10	10	NWbar	1.805771044919558	0.0	0.6148484848484849
1000	10	10	S-NW	1.7065135303435726	1.0101010101010102	3.639090909090909
1000	10	10	SAA	1.7455641202185774	0.0	-1.0
1000	10	10	S-SAA	1.723038945330255	1.0101010101010102	-1.0
1000	10	10	NW	2.0162259822002646	0.0	0.01
1000	10	10	HS-NW	1.7421253713389795	2.0202020202020203	0.01
1000	10	10	NWbar	1.8044362396343188	0.0	0.6148484848484849
1000	10	10	S-NW	1.713296962377333	2.0202020202020203	4.445555555555556
1000	10	10	SAA	1.7752721036766885	0.0	-1.0
1000	10	10	S-SAA	1.7367407386325977	1.0101010101010102	-1.0
1000	10	10	NW	2.029734455008826	0.0	0.01
1000	10	10	HS-NW	1.7283363411746386	2.0202020202020203	0.01
1000	10	10	NWbar	1.7810544850252568	0.0	0.6148484848484849
1000	10	10	S-NW	1.7205951310669756	2.0202020202020203	3.9415151515151514
1000	10	10	SAA	1.753627754039711	0.0	-1.0
1000	10	10	S-SAA	1.7301468159144848	1.0101010101010102	-1.0
1000	10	10	NW	2.0224336977751056	0.0	0.01
1000	10	10	HS-NW	1.740712573210365	1.0101010101010102	0.01
1000	10	10	NWbar	1.9432390419827767	0.0	0.6652525252525252
1000	10	10	S-NW	1.7017316506497584	2.0202020202020203	1.6733333333333333
1000	10	10	SAA	1.730986948083017	0.0	-1.0
1000	10	10	S-SAA	1.712002614480351	1.0101010101010102	-1.0
1000	10	10	NW	1.998137339082479	0.0	0.01
1000	10	10	HS-NW	1.7053161101694092	2.0202020202020203	0.01
1000	10	10	NWbar	1.7895571906850054	0.0	0.6148484848484849
1000	10	10	S-NW	1.7036324179620737	1.0101010101010102	4.9495959595959595
1000	10	10	SAA	1.7334572336704068	0.0	-1.0
