K	d	N	Method	TruePerf	alpha	bandwidth
1000	10	10	FullInfo	1.4983089524949997	0.0	-1.0
1000	10	10	SAA	1.6878607261591074	0.0	-1.0
1000	10	10	S-SAA	1.6821173094657011	1.0101010101010102	-1.0
1000	10	10	NW	2.117056476515492	0.0	0.01
1000	10	10	HS-NW	1.6788002203531613	2.0202020202020203	0.01
1000	10	10	NWbar	1.675351896387956	0.0	0.5644444444444444
1000	10	10	S-NW	1.6728586231008093	1.0101010101010102	4.697575757575757
1000	10	10	SAA	1.6740568738177448	0.0	-1.0
1000	10	10	S-SAA	1.653332560751567	1.0101010101010102	-1.0
1000	10	10	NW	2.1003271282028377	0.0	0.01
1000	10	10	HS-NW	1.646470722529554	1.0101010101010102	0.01
1000	10	10	NWbar	1.793829776482984	0.0	0.6148484848484849
1000	10	10	S-NW	1.6445729709277594	1.0101010101010102	0.11080808080808081
1000	10	10	SAA	1.676744461247758	0.0	-1.0
1000	10	10	S-SAA	1.6526387882923665	1.0101010101010102	-1.0
1000	10	10	NW	2.073649252860504	0.0	0.01
1000	10	10	HS-NW	1.644078404391174	1.0101010101010102	0.01
1000	10	10	NWbar	1.797357419360153	0.0	0.6148484848484849
1000	10	10	S-NW	1.6395991704393964	1.0101010101010102	4.596767676767676
1000	10	10	SAA	1.669794303286967	0.0	-1.0
1000	10	10	S-SAA	1.6492640328377985	1.0101010101010102	-1.0
1000	10	10	NW	2.0697963545731066	0.0	0.01
1000	10	10	HS-NW	1.6635105325814061	1.0101010101010102	0.01
1000	10	10	NWbar	2.0459280063296	0.0	0.6652525252525252
1000	10	10	S-NW	1.6571375508000032	1.0101010101010102	0.31242424242424244
1000	10	10	SAA	1.6576005377645568	0.0	-1.0
1000	10	10	S-SAA	1.6380504814372485	1.0101010101010102	-1.0
1000	10	10	NW	2.1089266303809184	0.0	0.01
1000	10	10	HS-NW	1.644042040606137	1.0101010101010102	0.01
1000	10	10	NWbar	1.629546163257501	0.0	0.5644444444444444
1000	10	10	S-NW	1.633881845050718	1.0101010101010102	2.731818181818182
1000	10	10	SAA	1.736232459289505	0.0	-1.0
1000	10	10	S-SAA	1.7176386188668533	1.0101010101010102	-1.0
1000	10	10	NW	2.1262059113825034	0.0	0.01
1000	10	10	HS-NW	1.720357603819735	1.0101010101010102	0.01
1000	10	10	NWbar	2.066854699344817	0.0	0.6652525252525252
1000	10	10	S-NW	1.7195366523564988	1.0101010101010102	4.294343434343435
1000	10	10	SAA	1.6698686311366342	0.0	-1.0
1000	10	10	S-SAA	1.6495541116703707	1.0101010101010102	-1.0
1000	10	10	NW	2.0954194236417116	0.0	0.01
1000	10	10	HS-NW	1.6426585096747284	1.0101010101010102	0.01
1000	10	10	NWbar	1.6472354233230186	0.0	0.5140404040404041
1000	10	10	S-NW	1.6330183798437994	1.0101010101010102	0.060404040404040404
1000	10	10	SAA	1.7084190165014534	0.0	-1.0
1000	10	10	S-SAA	1.674864920750808	1.0101010101010102	-1.0
1000	10	10	NW	2.093743759874201	0.0	0.01
1000	10	10	HS-NW	1.6919650487841007	2.0202020202020203	0.01
1000	10	10	NWbar	1.7980721414139422	0.0	0.6148484848484849
1000	10	10	S-NW	1.6621437738307085	2.0202020202020203	0.16121212121212122
1000	10	10	SAA	1.6841569202067743	0.0	-1.0
1000	10	10	S-SAA	1.6828183577256903	1.0101010101010102	-1.0
1000	10	10	NW	2.1176489683227926	0.0	0.01
1000	10	10	HS-NW	1.6626560378240673	1.0101010101010102	0.01
1000	10	10	NWbar	1.6841569202067743	0.0	0.01
1000	10	10	S-NW	1.6626560378240673	1.0101010101010102	0.01
1000	10	10	SAA	1.651730469768876	0.0	-1.0
1000	10	10	S-SAA	1.651730469768876	0.0	-1.0
1000	10	10	NW	2.095750393153597	0.0	0.01
1000	10	10	HS-NW	1.645857905561611	2.0202020202020203	0.01
1000	10	10	NWbar	1.7899476881415528	0.0	0.6148484848484849
1000	10	10	S-NW	1.6429248567301546	1.0101010101010102	0.11080808080808081
