K	d	N	Method	TruePerf	alpha	bandwidth
1000	10	10	FullInfo	0.6863816082270074	0.0	-1.0
1000	10	10	SAA	0.7820051441605942	0.0	-1.0
1000	10	10	S-SAA	0.7678825757075693	1.0101010101010102	-1.0
1000	10	10	NW	0.8539672355561845	0.0	0.01
1000	10	10	HS-NW	0.7611782511230722	3.0303030303030303	0.01
1000	10	10	NWbar	0.8115915611097627	0.0	0.6652525252525252
1000	10	10	S-NW	0.7592120328278568	1.0101010101010102	3.6894949494949496
1000	10	10	SAA	0.7542629404993482	0.0	-1.0
1000	10	10	S-SAA	0.7542629404993482	0.0	-1.0
1000	10	10	NW	0.848344872583152	0.0	0.01
1000	10	10	HS-NW	0.7542629404993482	0.0	0.01
1000	10	10	NWbar	0.7739798743059557	0.0	0.6148484848484849
1000	10	10	S-NW	0.7542629404993482	0.0	0.01
1000	10	10	SAA	0.7705109649158507	0.0	-1.0
1000	10	10	S-SAA	0.7697699844857628	1.0101010101010102	-1.0
1000	10	10	NW	0.8729050776322747	0.0	0.01
1000	10	10	HS-NW	0.7619919500372707	4.040404040404041	0.01
1000	10	10	NWbar	0.7693990136586847	0.0	0.6148484848484849
1000	10	10	S-NW	0.7608468777959062	3.0303030303030303	0.060404040404040404
1000	10	10	SAA	0.7780793015976916	0.0	-1.0
1000	10	10	S-SAA	0.7729672091368878	1.0101010101010102	-1.0
1000	10	10	NW	0.8545213264669199	0.0	0.01
1000	10	10	HS-NW	0.7629544347281491	6.0606060606060606	0.01
1000	10	10	NWbar	0.9154686386551808	0.0	0.7660606060606061
1000	10	10	S-NW	0.7626673891452476	4.040404040404041	0.060404040404040404
1000	10	10	SAA	0.7794889472447886	0.0	-1.0
1000	10	10	S-SAA	0.7794889472447886	0.0	-1.0
1000	10	10	NW	0.8643129541188513	0.0	0.01
1000	10	10	HS-NW	0.7743317159941125	2.0202020202020203	0.01
1000	10	10	NWbar	0.7717170559106536	0.0	0.6148484848484849
1000	10	10	S-NW	0.7596128978347035	2.0202020202020203	0.060404040404040404
1000	10	10	SAA	0.7503802216192362	0.0	-1.0
