K	d	N	Method	TruePerf	alpha	bandwidth
1000	10	10	FullInfo	0.9759628858611876	0.0	-1.0
1000	10	10	SAA	1.0834960970515133	0.0	-1.0
1000	10	10	S-SAA	1.0601297144288468	1.0101010101010102	-1.0
1000	10	10	NW	1.0730058624237166	0.0	0.01
1000	10	10	HS-NW	1.0608262764025895	53.535353535353536	0.01
1000	10	10	NWbar	1.0388305283993229	0.0	0.6652525252525252
1000	10	10	S-NW	1.0349281415486418	3.0303030303030303	2.378989898989899
1000	10	10	SAA	1.1046870073882489	0.0	-1.0
1000	10	10	S-SAA	1.0873234002932732	1.0101010101010102	-1.0
1000	10	10	NW	1.1070743128291625	0.0	0.01
1000	10	10	HS-NW	1.0928177670601364	8.080808080808081	0.01
1000	10	10	NWbar	1.0676066559122035	0.0	0.6652525252525252
1000	10	10	S-NW	1.061066644766363	4.040404040404041	2.227777777777778
1000	10	10	SAA	1.1002705261261247	0.0	-1.0
1000	10	10	S-SAA	1.0857078776431361	1.0101010101010102	-1.0
1000	10	10	NW	1.1024073908647292	0.0	0.01
1000	10	10	HS-NW	1.086118577926033	18.181818181818183	0.01
1000	10	10	NWbar	1.0615169133424975	0.0	0.6652525252525252
1000	10	10	S-NW	1.0566457706066132	4.040404040404041	1.4717171717171718
1000	10	10	SAA	1.1005468950834267	0.0	-1.0
1000	10	10	S-SAA	1.087556588274565	1.0101010101010102	-1.0
1000	10	10	NW	1.09209627731463	0.0	0.01
1000	10	10	HS-NW	1.0677625209956358	9.090909090909092	0.01
1000	10	10	NWbar	1.072262993105867	0.0	0.7156565656565657
1000	10	10	S-NW	1.042633095344326	4.040404040404041	0.26202020202020204
1000	10	10	SAA	1.115439498419981	0.0	-1.0
1000	10	10	S-SAA	1.082782253079522	1.0101010101010102	-1.0
1000	10	10	NW	1.0841893250470427	0.0	0.01
1000	10	10	HS-NW	1.0725320375178466	21.21212121212121	0.01
1000	10	10	NWbar	1.0691003955240304	0.0	0.6652525252525252
1000	10	10	S-NW	1.0598882386519055	2.0202020202020203	0.26202020202020204
1000	10	10	SAA	1.1466719577920481	0.0	-1.0
1000	10	10	S-SAA	1.1223220238413876	1.0101010101010102	-1.0
1000	10	10	NW	1.1214522325796172	0.0	0.01
1000	10	10	HS-NW	1.1082599686652657	30.303030303030305	0.01
1000	10	10	NWbar	1.0776787527278857	0.0	0.6652525252525252
1000	10	10	S-NW	1.0647913648334377	11.11111111111111	0.11080808080808081
1000	10	10	SAA	1.1216488370562798	0.0	-1.0
1000	10	10	S-SAA	1.1016300132588235	1.0101010101010102	-1.0
1000	10	10	NW	1.1221162280319619	0.0	0.01
1000	10	10	HS-NW	1.0863339741049955	9.090909090909092	0.01
